1.000000 0.000000 0.000000
0.500000 0.866025 0.000000
0.500000 0.288675 0.816497
2.000000 0.000000 0.000000
0.000000 2.000000 0.000000
-0.000000 0.000000 2.000000
1.750000 0.750000 0.750000 Mn
0.750000 0.750000 0.750000 Zn
1.750000 1.750000 0.750000 Zn
0.750000 1.750000 0.750000 Mn
1.750000 0.750000 1.750000 Zn
0.750000 0.750000 1.750000 Mn
1.750000 1.750000 1.750000 Zn
0.750000 1.750000 1.750000 Mn
0.500000 1.500000 0.500000 Zn
1.500000 1.500000 0.500000 Mn
0.500000 0.500000 0.500000 Mn
1.500000 0.500000 0.500000 Mn
0.500000 1.500000 1.500000 Mn
1.500000 1.500000 1.500000 Mn
0.500000 0.500000 1.500000 Zn
1.500000 0.500000 1.500000 Mn
1.125000 0.125000 0.625000 Fe
0.125000 0.125000 0.625000 Fe
1.125000 1.125000 0.625000 Fe
0.125000 1.125000 0.625000 Fe
1.125000 0.125000 1.625000 Fe
0.125000 0.125000 1.625000 Fe
1.125000 1.125000 1.625000 Fe
0.125000 1.125000 1.625000 Fe
1.125000 0.125000 0.125000 Fe
0.125000 0.125000 0.125000 Fe
1.125000 1.125000 0.125000 Fe
0.125000 1.125000 0.125000 Fe
1.125000 0.125000 1.125000 Fe
0.125000 0.125000 1.125000 Fe
1.125000 1.125000 1.125000 Fe
0.125000 1.125000 1.125000 Fe
0.625000 0.125000 0.125000 Fe
1.625000 0.125000 0.125000 Fe
0.625000 1.125000 0.125000 Fe
1.625000 1.125000 0.125000 Fe
0.625000 0.125000 1.125000 Fe
1.625000 0.125000 1.125000 Fe
0.625000 1.125000 1.125000 Fe
1.625000 1.125000 1.125000 Fe
1.125000 0.625000 0.125000 Fe
0.125000 0.625000 0.125000 Fe
1.125000 1.625000 0.125000 Fe
0.125000 1.625000 0.125000 Fe
1.125000 0.625000 1.125000 Fe
0.125000 0.625000 1.125000 Fe
1.125000 1.625000 1.125000 Fe
0.125000 1.625000 1.125000 Fe
0.365331 0.904007 0.365331 O
1.365331 0.904007 0.365331 O
0.365331 1.904007 0.365331 O
1.365331 1.904007 0.365331 O
0.365331 0.904007 1.365331 O
1.365331 0.904007 1.365331 O
0.365331 1.904007 1.365331 O
1.365331 1.904007 1.365331 O
0.365331 0.365331 0.365331 O
1.365331 0.365331 0.365331 O
0.365331 1.365331 0.365331 O
1.365331 1.365331 0.365331 O
0.365331 0.365331 1.365331 O
1.365331 0.365331 1.365331 O
0.365331 1.365331 1.365331 O
1.365331 1.365331 1.365331 O
0.904007 0.365331 0.365331 O
1.904007 0.365331 0.365331 O
0.904007 1.365331 0.365331 O
1.904007 1.365331 0.365331 O
0.904007 0.365331 1.365331 O
1.904007 0.365331 1.365331 O
0.904007 1.365331 1.365331 O
1.904007 1.365331 1.365331 O
0.884669 0.884669 0.345993 O
1.884669 0.884669 0.345993 O
0.884669 1.884669 0.345993 O
1.884669 1.884669 0.345993 O
0.884669 0.884669 1.345993 O
1.884669 0.884669 1.345993 O
0.884669 1.884669 1.345993 O
1.884669 1.884669 1.345993 O
0.345993 0.884669 0.884669 O
1.345993 0.884669 0.884669 O
0.345993 1.884669 0.884669 O
1.345993 1.884669 0.884669 O
0.345993 0.884669 1.884669 O
1.345993 0.884669 1.884669 O
0.345993 1.884669 1.884669 O
1.345993 1.884669 1.884669 O
0.884669 0.884669 0.884669 O
1.884669 0.884669 0.884669 O
0.884669 1.884669 0.884669 O
1.884669 1.884669 0.884669 O
0.884669 0.884669 1.884669 O
1.884669 0.884669 1.884669 O
0.884669 1.884669 1.884669 O
1.884669 1.884669 1.884669 O
0.365331 0.365331 0.904007 O
1.365331 0.365331 0.904007 O
0.365331 1.365331 0.904007 O
1.365331 1.365331 0.904007 O
0.365331 0.365331 1.904007 O
1.365331 0.365331 1.904007 O
0.365331 1.365331 1.904007 O
1.365331 1.365331 1.904007 O
0.884669 0.345993 0.884669 O
1.884669 0.345993 0.884669 O
0.884669 1.345993 0.884669 O
1.884669 1.345993 0.884669 O
0.884669 0.345993 1.884669 O
1.884669 0.345993 1.884669 O
0.884669 1.345993 1.884669 O
1.884669 1.345993 1.884669 O
