1.000000 0.000000 0.000000
-0.333313 0.942816 0.000000
0.000000 0.000000 0.577350
2.000000 0.000000 0.000000
-0.000000 2.000000 0.000000
0.000000 -0.000000 1.000000
0.937500 0.062500 0.750000 Fe
1.937500 0.062500 0.750000 Fe
0.937500 1.062500 0.750000 Fe
1.937500 1.062500 0.750000 Fe
0.937500 0.062500 0.250000 Fe
1.937500 0.062500 0.250000 Fe
0.937500 1.062500 0.250000 Fe
1.937500 1.062500 0.250000 La
0.437500 0.562500 0.750000 Fe
1.437500 0.562500 0.750000 La
0.437500 1.562500 0.750000 Fe
1.437500 1.562500 0.750000 Fe
0.437500 0.562500 0.250000 Fe
1.437500 0.562500 0.250000 Fe
0.437500 1.562500 0.250000 Fe
1.437500 1.562500 0.250000 Fe
0.125000 0.375000 1.000000 Mn
1.125000 0.375000 1.000000 Mn
0.125000 1.375000 1.000000 Mn
1.125000 1.375000 1.000000 Mn
0.625000 0.874999 1.000000 Mn
1.625000 0.874999 1.000000 Mn
0.625000 1.874999 1.000000 Mn
1.625000 1.874999 1.000000 Mn
0.125000 0.875000 0.500000 Mn
1.125000 0.875000 0.500000 Mn
0.125000 1.875000 0.500000 Mn
1.125000 1.875000 0.500000 Mn
0.250000 0.750000 1.000000 Mn
1.250000 0.750000 1.000000 Mn
0.250000 1.750000 1.000000 Mn
1.250000 1.750000 1.000000 Mn
0.750000 0.750000 0.500000 Mn
1.750000 0.750000 0.500000 Mn
0.750000 1.750000 0.500000 Mn
1.750000 1.750000 0.500000 Mn
0.250000 0.249999 0.500000 Mn
1.250000 0.249999 0.500000 Mn
0.250000 1.249999 0.500000 Mn
1.250000 1.249999 0.500000 Mn
0.750000 0.250000 1.000000 Mn
1.750000 0.250000 1.000000 Mn
0.750000 1.250000 1.000000 Mn
1.750000 1.250000 1.000000 Mn
0.625000 0.375000 0.500000 Zn
1.625000 0.375000 0.500000 Zn
0.625000 1.375000 0.500000 Zn
1.625000 1.375000 0.500000 Zn
0.437500 0.062500 0.250000 Fe
1.437500 0.062500 0.250000 Fe
0.437500 1.062500 0.250000 Fe
1.437500 1.062500 0.250000 Fe
0.437500 0.062500 0.750000 Fe
1.437500 0.062500 0.750000 Fe
0.437500 1.062500 0.750000 Fe
1.437500 1.062500 0.750000 Fe
0.937500 0.562499 0.250000 Fe
1.937500 0.562499 0.250000 Fe
0.937500 1.562499 0.250000 Fe
1.937500 1.562499 0.250000 Fe
0.937500 0.562499 0.750000 Fe
1.937500 0.562499 0.750000 Fe
0.937500 1.562499 0.750000 Fe
1.937500 1.562499 0.750000 Fe
0.687500 0.062500 0.500000 Fe
1.687500 0.062500 0.500000 Fe
0.687500 1.062500 0.500000 Fe
1.687500 1.062500 0.500000 Fe
0.937500 0.312499 0.500000 Fe
1.937500 0.312499 0.500000 Fe
0.937500 1.312499 0.500000 Fe
1.937500 1.312499 0.500000 Fe
0.187500 0.062500 1.000000 Fe
1.187500 0.062500 1.000000 Fe
0.187500 1.062500 1.000000 Fe
1.187500 1.062500 1.000000 Fe
0.937500 0.812499 1.000000 Fe
1.937500 0.812499 1.000000 Fe
0.937500 1.812499 1.000000 Fe
1.937500 1.812499 1.000000 Fe
0.187500 0.562500 0.500000 Fe
1.187500 0.562500 0.500000 Fe
0.187500 1.562500 0.500000 Fe
1.187500 1.562500 0.500000 Fe
