Minute,Timestamp,Best_Objective,Best_Run,Run1_Steps,Run1_Objective,Run1_Status,Run2_Steps,Run2_Objective,Run2_Status,Run3_Steps,Run3_Objective,Run3_Status,Run4_Steps,Run4_Objective,Run4_Status,Run5_Steps,Run5_Objective,Run5_Status
0,2025-10-02 02:41:19,-4.202771,4,11,-3.806271,RUNNING,9,-4.132244,RUNNING,12,-4.131810,RUNNING,4,-4.202771,RUNNING,9,-4.141792,RUNNING
0,2025-10-02 02:41:29,-4.202771,4,12,-4.138320,RUNNING,9,-4.132244,RUNNING,12,-4.131810,RUNNING,4,-4.202771,RUNNING,9,-4.141792,RUNNING
0,2025-10-02 02:41:40,-5.139188,3,12,-4.138320,RUNNING,10,-4.132678,RUNNING,13,-5.139188,RUNNING,4,-4.202771,RUNNING,9,-4.141792,RUNNING
0,2025-10-02 02:41:48,-5.139188,3,12,-4.138320,RUNNING,10,-4.132678,RUNNING,13,-5.139188,RUNNING,4,-4.202771,RUNNING,9,-4.141792,RUNNING
0,2025-10-02 02:41:58,-5.139188,3,13,-5.136150,RUNNING,10,-4.132678,RUNNING,13,-5.139188,RUNNING,4,-4.202771,RUNNING,9,-4.141792,RUNNING
0,2025-10-02 02:42:09,-5.139188,3,13,-5.136150,RUNNING,10,-4.132678,RUNNING,13,-5.139188,RUNNING,5,-5.136584,RUNNING,9,-4.141792,RUNNING
1,2025-10-02 02:42:17,-5.139188,3,13,-5.136150,RUNNING,10,-4.132678,RUNNING,13,-5.139188,RUNNING,5,-5.136584,RUNNING,9,-4.141792,RUNNING
1,2025-10-02 02:42:27,-5.139188,3,13,-5.136150,RUNNING,10,-4.132678,RUNNING,13,-5.139188,RUNNING,5,-5.136584,RUNNING,9,-4.141792,RUNNING
1,2025-10-02 02:42:37,-5.139188,3,13,-5.136150,RUNNING,10,-4.132678,RUNNING,13,-5.139188,RUNNING,5,-5.136584,RUNNING,9,-4.141792,RUNNING
1,2025-10-02 02:42:46,-5.139188,3,13,-5.136150,RUNNING,10,-4.132678,RUNNING,13,-5.139188,RUNNING,5,-5.136584,RUNNING,9,-4.141792,RUNNING
1,2025-10-02 02:42:56,-5.139188,3,13,-5.136150,RUNNING,11,-5.136150,RUNNING,13,-5.139188,RUNNING,5,-5.136584,RUNNING,10,-5.136150,RUNNING
1,2025-10-02 02:43:06,-5.140490,3,13,-5.136150,RUNNING,11,-5.136150,RUNNING,14,-5.140490,RUNNING,5,-5.136584,RUNNING,10,-5.136150,RUNNING
2,2025-10-02 02:43:15,-5.140490,2,13,-5.136150,RUNNING,12,-5.140490,RUNNING,14,-5.140490,RUNNING,5,-5.136584,RUNNING,10,-5.136150,RUNNING
2,2025-10-02 02:43:25,-5.140490,2,13,-5.136150,RUNNING,12,-5.140490,RUNNING,14,-5.140490,RUNNING,5,-5.136584,RUNNING,10,-5.136150,RUNNING
2,2025-10-02 02:43:35,-5.140490,2,13,-5.136150,RUNNING,12,-5.140490,RUNNING,14,-5.140490,RUNNING,5,-5.136584,RUNNING,10,-5.136150,RUNNING
2,2025-10-02 02:43:45,-5.140490,2,13,-5.136150,RUNNING,12,-5.140490,RUNNING,14,-5.140490,RUNNING,5,-5.136584,RUNNING,10,-5.136150,RUNNING
2,2025-10-02 02:43:54,-5.140490,2,13,-5.136150,RUNNING,12,-5.140490,RUNNING,14,-5.140490,RUNNING,5,-5.136584,RUNNING,10,-5.136150,RUNNING
2,2025-10-02 02:44:04,-5.140490,2,13,-5.136150,RUNNING,12,-5.140490,RUNNING,14,-5.140490,RUNNING,5,-5.136584,RUNNING,10,-5.136150,RUNNING
3,2025-10-02 02:44:14,-5.140490,2,13,-5.136150,RUNNING,12,-5.140490,RUNNING,14,-5.140490,RUNNING,5,-5.136584,RUNNING,10,-5.136150,RUNNING
3,2025-10-02 02:44:23,-5.140490,2,13,-5.136150,RUNNING,12,-5.140490,RUNNING,14,-5.140490,RUNNING,5,-5.136584,RUNNING,10,-5.136150,RUNNING
3,2025-10-02 02:44:33,-5.140490,2,13,-5.136150,RUNNING,12,-5.140490,RUNNING,14,-5.140490,RUNNING,5,-5.136584,RUNNING,10,-5.136150,RUNNING
3,2025-10-02 02:44:43,-5.140490,2,13,-5.136150,RUNNING,12,-5.140490,RUNNING,14,-5.140490,RUNNING,5,-5.136584,RUNNING,10,-5.136150,RUNNING
3,2025-10-02 02:44:52,-5.140490,2,13,-5.136150,RUNNING,12,-5.140490,RUNNING,14,-5.140490,RUNNING,5,-5.136584,RUNNING,10,-5.136150,RUNNING
3,2025-10-02 02:45:02,-5.140490,2,13,-5.136150,RUNNING,12,-5.140490,RUNNING,14,-5.140490,RUNNING,5,-5.136584,RUNNING,10,-5.136150,RUNNING
4,2025-10-02 02:45:12,-5.140490,2,14,-5.140056,RUNNING,12,-5.140490,RUNNING,14,-5.140490,RUNNING,5,-5.136584,RUNNING,10,-5.136150,RUNNING
4,2025-10-02 02:45:20,-5.140490,2,14,-5.140056,RUNNING,12,-5.140490,RUNNING,14,-5.140490,RUNNING,6,-5.137886,RUNNING,10,-5.136150,RUNNING
