1.000000 0.000000 0.000000
0.000000 1.000000 0.000000
0.000000 0.000000 1.000000
1.000000 0.000000 0.000000
0.000000 1.000000 0.000000
0.000000 0.000000 1.000000
1.000000 1.000000 1.000000 Mn
1.000000 0.500000 0.500000 Mn
0.500000 0.500000 1.000000 Mn
0.500000 1.000000 0.500000 Zn
0.250000 0.250000 0.250000 Mn
0.250000 0.750000 0.750000 Mn
0.750000 0.250000 0.750000 Mn
0.750000 0.750000 0.250000 Zn
0.375000 0.375000 0.625000 Fe
0.375000 0.125000 0.875000 Fe
0.125000 0.125000 0.625000 Fe
0.875000 0.375000 0.125000 Fe
0.625000 0.375000 0.375000 Fe
0.625000 0.125000 0.125000 Fe
0.125000 0.625000 0.125000 Fe
0.375000 0.625000 0.375000 Fe
0.125000 0.875000 0.375000 Fe
0.875000 0.875000 0.625000 Fe
0.875000 0.625000 0.875000 Fe
0.625000 0.875000 0.875000 Fe
0.875000 0.125000 0.375000 Fe
0.375000 0.875000 0.125000 Fe
0.125000 0.375000 0.875000 Fe
0.625000 0.625000 0.625000 Fe
0.888650 0.611350 0.111350 O
0.111350 0.888650 0.611350 O
0.611350 0.111350 0.888650 O
0.388650 0.388650 0.388650 O
0.361350 0.138650 0.638650 O
0.638650 0.361350 0.138650 O
0.861350 0.861350 0.861350 O
0.138650 0.638650 0.361350 O
0.361350 0.638650 0.138650 O
0.138650 0.361350 0.638650 O
0.638650 0.138650 0.361350 O
0.888650 0.111350 0.611350 O
0.611350 0.888650 0.111350 O
0.111350 0.611350 0.888650 O
0.111350 0.388650 0.111350 O
0.611350 0.611350 0.388650 O
0.388650 0.888650 0.888650 O
0.638650 0.861350 0.638650 O
0.861350 0.361350 0.361350 O
0.138650 0.138650 0.861350 O
0.138650 0.861350 0.138650 O
0.638650 0.638650 0.861350 O
0.611350 0.388650 0.611350 O
0.111350 0.111350 0.388650 O
0.388650 0.611350 0.611350 O
0.888650 0.388650 0.888650 O
0.861350 0.138650 0.138650 O
0.361350 0.861350 0.361350 O
0.861350 0.638650 0.638650 O
0.388650 0.111350 0.111350 O
0.888650 0.888650 0.388650 O
0.361350 0.361350 0.861350 O
