Minute,Timestamp,Best_Objective,Best_Run,Run1_Steps,Run1_Objective,Run1_Status,Run2_Steps,Run2_Objective,Run2_Status,Run3_Steps,Run3_Objective,Run3_Status,Run4_Steps,Run4_Objective,Run4_Status,Run5_Steps,Run5_Objective,Run5_Status
0,2025-10-02 02:21:43,-3.933280,4,9,-3.931978,RUNNING,6,-3.924599,RUNNING,7,-3.932412,RUNNING,4,-3.933280,RUNNING,4,-3.931110,RUNNING
0,2025-10-02 02:21:54,-3.933280,2,9,-3.931978,RUNNING,7,-3.933280,RUNNING,7,-3.932412,RUNNING,4,-3.933280,RUNNING,5,-3.932412,RUNNING
0,2025-10-02 02:22:05,-3.935884,5,9,-3.931978,RUNNING,7,-3.933280,RUNNING,7,-3.932412,RUNNING,4,-3.933280,RUNNING,6,-3.935884,RUNNING
0,2025-10-02 02:22:14,-3.935884,5,9,-3.931978,RUNNING,7,-3.933280,RUNNING,8,-3.933280,RUNNING,5,-3.934148,RUNNING,6,-3.935884,RUNNING
0,2025-10-02 02:22:25,-3.935884,5,11,-3.933714,RUNNING,7,-3.933280,RUNNING,8,-3.933280,RUNNING,5,-3.934148,RUNNING,6,-3.935884,RUNNING
1,2025-10-02 02:22:36,-3.935884,5,11,-3.933714,RUNNING,7,-3.933280,RUNNING,8,-3.933280,RUNNING,5,-3.934148,RUNNING,6,-3.935884,RUNNING
1,2025-10-02 02:22:46,-3.935884,5,11,-3.933714,RUNNING,7,-3.933280,RUNNING,8,-3.933280,RUNNING,5,-3.934148,RUNNING,6,-3.935884,RUNNING
1,2025-10-02 02:22:57,-3.935884,5,11,-3.933714,RUNNING,7,-3.933280,RUNNING,8,-3.933280,RUNNING,5,-3.934148,RUNNING,6,-3.935884,RUNNING
1,2025-10-02 02:23:08,-3.935884,5,11,-3.933714,RUNNING,7,-3.933280,RUNNING,8,-3.933280,RUNNING,5,-3.934148,RUNNING,6,-3.935884,RUNNING
1,2025-10-02 02:23:17,-3.935884,5,11,-3.933714,RUNNING,7,-3.933280,RUNNING,8,-3.933280,RUNNING,5,-3.934148,RUNNING,6,-3.935884,RUNNING
1,2025-10-02 02:23:28,-3.935884,5,11,-3.933714,RUNNING,7,-3.933280,RUNNING,8,-3.933280,RUNNING,6,-3.935016,RUNNING,6,-3.935884,RUNNING
2,2025-10-02 02:23:39,-3.935884,5,11,-3.933714,RUNNING,7,-3.933280,RUNNING,8,-3.933280,RUNNING,6,-3.935016,RUNNING,6,-3.935884,RUNNING
2,2025-10-02 02:23:49,-3.935884,5,11,-3.933714,RUNNING,7,-3.933280,RUNNING,8,-3.933280,RUNNING,6,-3.935016,RUNNING,6,-3.935884,RUNNING
2,2025-10-02 02:24:00,-3.935884,5,11,-3.933714,RUNNING,8,-3.933714,RUNNING,8,-3.933280,RUNNING,6,-3.935016,RUNNING,6,-3.935884,RUNNING
2,2025-10-02 02:24:11,-3.935884,5,11,-3.933714,RUNNING,8,-3.933714,RUNNING,8,-3.933280,RUNNING,6,-3.935016,RUNNING,6,-3.935884,RUNNING
2,2025-10-02 02:24:20,-3.935884,5,11,-3.933714,RUNNING,9,-3.934582,RUNNING,8,-3.933280,RUNNING,6,-3.935016,RUNNING,6,-3.935884,RUNNING
2,2025-10-02 02:24:31,-3.935884,5,11,-3.933714,RUNNING,9,-3.934582,RUNNING,8,-3.933280,RUNNING,6,-3.935016,RUNNING,6,-3.935884,RUNNING
3,2025-10-02 02:24:42,-3.935884,5,11,-3.933714,RUNNING,9,-3.934582,RUNNING,8,-3.933280,RUNNING,6,-3.935016,RUNNING,6,-3.935884,RUNNING
3,2025-10-02 02:24:51,-3.935884,5,11,-3.933714,RUNNING,9,-3.934582,RUNNING,9,-3.933714,RUNNING,6,-3.935016,RUNNING,6,-3.935884,RUNNING
