Minute,Timestamp,Best_Objective,Best_Run,Run1_Steps,Run1_Objective,Run1_Status,Run2_Steps,Run2_Objective,Run2_Status,Run3_Steps,Run3_Objective,Run3_Status,Run4_Steps,Run4_Objective,Run4_Status,Run5_Steps,Run5_Objective,Run5_Status
0,2025-10-02 02:21:43,-3.918089,2,8,-3.519636,RUNNING,3,-3.918089,RUNNING,6,-3.521806,RUNNING,8,-3.249059,RUNNING,6,-3.912446,RUNNING
0,2025-10-02 02:21:54,-3.920259,2,8,-3.519636,RUNNING,4,-3.920259,RUNNING,6,-3.521806,RUNNING,9,-3.513993,RUNNING,6,-3.912446,RUNNING
0,2025-10-02 02:22:05,-3.920259,2,8,-3.519636,RUNNING,4,-3.920259,RUNNING,6,-3.521806,RUNNING,10,-3.906370,RUNNING,6,-3.912446,RUNNING
0,2025-10-02 02:22:14,-3.928939,3,10,-3.915050,RUNNING,4,-3.920259,RUNNING,8,-3.928939,RUNNING,10,-3.906370,RUNNING,6,-3.912446,RUNNING
0,2025-10-02 02:22:25,-3.928939,3,10,-3.915050,RUNNING,4,-3.920259,RUNNING,8,-3.928939,RUNNING,10,-3.906370,RUNNING,7,-3.921127,RUNNING
1,2025-10-02 02:22:37,-3.928939,3,10,-3.915050,RUNNING,4,-3.920259,RUNNING,8,-3.928939,RUNNING,11,-3.910710,RUNNING,7,-3.921127,RUNNING
1,2025-10-02 02:22:46,-3.928939,3,10,-3.915050,RUNNING,4,-3.920259,RUNNING,8,-3.928939,RUNNING,11,-3.910710,RUNNING,7,-3.921127,RUNNING
1,2025-10-02 02:22:57,-3.928939,3,10,-3.915050,RUNNING,4,-3.920259,RUNNING,8,-3.928939,RUNNING,11,-3.910710,RUNNING,7,-3.921127,RUNNING
1,2025-10-02 02:23:08,-3.928939,3,10,-3.915050,RUNNING,4,-3.920259,RUNNING,8,-3.928939,RUNNING,11,-3.910710,RUNNING,7,-3.921127,RUNNING
1,2025-10-02 02:23:18,-3.928939,3,10,-3.915050,RUNNING,4,-3.920259,RUNNING,8,-3.928939,RUNNING,11,-3.910710,RUNNING,7,-3.921127,RUNNING
1,2025-10-02 02:23:28,-3.928939,3,10,-3.915050,RUNNING,4,-3.920259,RUNNING,8,-3.928939,RUNNING,11,-3.910710,RUNNING,7,-3.921127,RUNNING
2,2025-10-02 02:23:39,-3.928939,3,10,-3.915050,RUNNING,4,-3.920259,RUNNING,8,-3.928939,RUNNING,11,-3.910710,RUNNING,7,-3.921127,RUNNING
2,2025-10-02 02:23:49,-3.928939,3,10,-3.915050,RUNNING,4,-3.920259,RUNNING,8,-3.928939,RUNNING,11,-3.910710,RUNNING,7,-3.921127,RUNNING
2,2025-10-02 02:24:00,-3.928939,3,10,-3.915050,RUNNING,4,-3.920259,RUNNING,8,-3.928939,RUNNING,11,-3.910710,RUNNING,7,-3.921127,RUNNING
2,2025-10-02 02:24:11,-3.928939,3,10,-3.915050,RUNNING,4,-3.920259,RUNNING,8,-3.928939,RUNNING,11,-3.910710,RUNNING,7,-3.921127,RUNNING
2,2025-10-02 02:24:20,-3.928939,3,10,-3.915050,RUNNING,4,-3.920259,RUNNING,8,-3.928939,RUNNING,11,-3.910710,RUNNING,7,-3.921127,RUNNING
2,2025-10-02 02:24:31,-3.928939,3,10,-3.915050,RUNNING,4,-3.920259,RUNNING,8,-3.928939,RUNNING,11,-3.910710,RUNNING,7,-3.921127,RUNNING
3,2025-10-02 02:24:42,-3.928939,3,10,-3.915050,RUNNING,4,-3.920259,RUNNING,8,-3.928939,RUNNING,11,-3.910710,RUNNING,7,-3.921127,RUNNING
3,2025-10-02 02:24:52,-3.928939,3,10,-3.915050,RUNNING,4,-3.920259,RUNNING,8,-3.928939,RUNNING,11,-3.910710,RUNNING,7,-3.921127,RUNNING
3,2025-10-02 02:25:03,-3.928939,3,10,-3.915050,RUNNING,4,-3.920259,RUNNING,8,-3.928939,RUNNING,11,-3.910710,RUNNING,7,-3.921127,RUNNING
3,2025-10-02 02:25:14,-3.928939,3,10,-3.915050,RUNNING,4,-3.920259,RUNNING,8,-3.928939,RUNNING,11,-3.910710,RUNNING,7,-3.921127,RUNNING
3,2025-10-02 02:25:23,-3.928939,3,10,-3.915050,RUNNING,4,-3.920259,RUNNING,8,-3.928939,RUNNING,11,-3.910710,RUNNING,7,-3.921127,RUNNING
4,2025-10-02 02:25:34,-3.928939,3,10,-3.915050,RUNNING,4,-3.920259,RUNNING,8,-3.928939,RUNNING,11,-3.910710,RUNNING,7,-3.921127,RUNNING
4,2025-10-02 02:25:45,-3.928939,3,10,-3.915050,RUNNING,4,-3.920259,RUNNING,8,-3.928939,RUNNING,11,-3.910710,RUNNING,7,-3.921127,RUNNING
4,2025-10-02 02:25:54,-3.928939,3,10,-3.915050,RUNNING,4,-3.920259,RUNNING,8,-3.928939,RUNNING,11,-3.910710,RUNNING,7,-3.921127,RUNNING
4,2025-10-02 02:26:05,-3.928939,3,10,-3.915050,RUNNING,4,-3.920259,RUNNING,8,-3.928939,RUNNING,11,-3.910710,RUNNING,7,-3.921127,RUNNING
4,2025-10-02 02:26:16,-3.928939,3,10,-3.915050,RUNNING,4,-3.920259,RUNNING,8,-3.928939,RUNNING,11,-3.910710,RUNNING,7,-3.921127,RUNNING
4,2025-10-02 02:26:25,-3.928939,3,10,-3.915050,RUNNING,5,-3.921561,RUNNING,8,-3.928939,RUNNING,11,-3.910710,RUNNING,7,-3.921127,RUNNING
5,2025-10-02 02:26:36,-3.928939,3,10,-3.915050,RUNNING,5,-3.921561,RUNNING,8,-3.928939,RUNNING,11,-3.910710,RUNNING,7,-3.921127,RUNNING
5,2025-10-02 02:26:47,-3.928939,3,10,-3.915050,RUNNING,5,-3.921561,RUNNING,8,-3.928939,RUNNING,11,-3.910710,RUNNING,7,-3.921127,RUNNING
5,2025-10-02 02:26:57,-3.928939,3,10,-3.915050,RUNNING,5,-3.921561,RUNNING,8,-3.928939,RUNNING,11,-3.910710,RUNNING,7,-3.921127,RUNNING
5,2025-10-02 02:27:08,-3.928939,3,10,-3.915050,RUNNING,5,-3.921561,RUNNING,8,-3.928939,RUNNING,11,-3.910710,RUNNING,7,-3.921127,RUNNING
5,2025-10-02 02:27:20,-3.928939,3,10,-3.915050,RUNNING,5,-3.921561,RUNNING,8,-3.928939,RUNNING,11,-3.910710,RUNNING,7,-3.921127,RUNNING
5,2025-10-02 02:27:29,-3.928939,3,10,-3.915050,RUNNING,5,-3.921561,RUNNING,8,-3.928939,RUNNING,12,-3.911578,RUNNING,7,-3.921127,RUNNING
6,2025-10-02 02:27:40,-3.928939,3,10,-3.915050,RUNNING,5,-3.921561,RUNNING,8,-3.928939,RUNNING,12,-3.911578,RUNNING,7,-3.921127,RUNNING
6,2025-10-02 02:27:51,-3.928939,3,10,-3.915050,RUNNING,5,-3.921561,RUNNING,8,-3.928939,RUNNING,12,-3.911578,RUNNING,7,-3.921127,RUNNING
6,2025-10-02 02:28:00,-3.928939,3,10,-3.915050,RUNNING,5,-3.921561,RUNNING,8,-3.928939,RUNNING,12,-3.911578,RUNNING,7,-3.921127,RUNNING
6,2025-10-02 02:28:11,-3.928939,3,10,-3.915050,RUNNING,5,-3.921561,RUNNING,8,-3.928939,RUNNING,12,-3.911578,RUNNING,7,-3.921127,RUNNING
6,2025-10-02 02:28:22,-3.928939,3,11,-3.917655,RUNNING,5,-3.921561,RUNNING,8,-3.928939,RUNNING,12,-3.911578,RUNNING,8,-3.928071,RUNNING
6,2025-10-02 02:28:32,-3.928939,3,11,-3.917655,RUNNING,5,-3.921561,RUNNING,8,-3.928939,RUNNING,12,-3.911578,RUNNING,8,-3.928071,RUNNING
7,2025-10-02 02:28:43,-3.928939,3,11,-3.917655,RUNNING,5,-3.921561,RUNNING,8,-3.928939,RUNNING,12,-3.911578,RUNNING,8,-3.928071,RUNNING
7,2025-10-02 02:28:54,-3.928939,3,11,-3.917655,RUNNING,5,-3.921561,RUNNING,8,-3.928939,RUNNING,12,-3.911578,RUNNING,8,-3.928071,RUNNING
7,2025-10-02 02:29:03,-3.928939,3,11,-3.917655,RUNNING,5,-3.921561,RUNNING,8,-3.928939,RUNNING,12,-3.911578,RUNNING,8,-3.928071,RUNNING
7,2025-10-02 02:29:14,-3.928939,3,11,-3.917655,RUNNING,5,-3.921561,RUNNING,8,-3.928939,RUNNING,12,-3.911578,RUNNING,8,-3.928071,RUNNING
7,2025-10-02 02:29:25,-3.928939,3,11,-3.917655,RUNNING,5,-3.921561,RUNNING,8,-3.928939,RUNNING,12,-3.911578,RUNNING,8,-3.928071,RUNNING
8,2025-10-02 02:29:34,-3.928939,3,11,-3.917655,RUNNING,5,-3.921561,RUNNING,8,-3.928939,RUNNING,12,-3.911578,RUNNING,8,-3.928071,RUNNING
8,2025-10-02 02:29:45,-3.928939,3,11,-3.917655,RUNNING,5,-3.921561,RUNNING,8,-3.928939,RUNNING,13,-3.919825,RUNNING,8,-3.928071,RUNNING
8,2025-10-02 02:29:55,-3.928939,3,11,-3.917655,RUNNING,5,-3.921561,RUNNING,8,-3.928939,RUNNING,13,-3.919825,RUNNING,8,-3.928071,RUNNING
8,2025-10-02 02:30:06,-3.928939,3,12,-3.918089,RUNNING,5,-3.921561,RUNNING,8,-3.928939,RUNNING,13,-3.919825,RUNNING,8,-3.928071,RUNNING
8,2025-10-02 02:30:17,-3.928939,3,12,-3.918089,RUNNING,5,-3.921561,RUNNING,8,-3.928939,RUNNING,13,-3.919825,RUNNING,8,-3.928071,RUNNING
8,2025-10-02 02:30:26,-3.928939,3,12,-3.918089,RUNNING,5,-3.921561,RUNNING,8,-3.928939,RUNNING,13,-3.919825,RUNNING,8,-3.928071,RUNNING
9,2025-10-02 02:30:37,-3.928939,3,12,-3.918089,RUNNING,5,-3.921561,RUNNING,8,-3.928939,RUNNING,13,-3.919825,RUNNING,8,-3.928071,RUNNING
9,2025-10-02 02:30:48,-3.928939,3,12,-3.918089,RUNNING,5,-3.921561,RUNNING,8,-3.928939,RUNNING,13,-3.919825,RUNNING,8,-3.928071,RUNNING
9,2025-10-02 02:30:58,-3.928939,3,12,-3.918089,RUNNING,5,-3.921561,RUNNING,8,-3.928939,RUNNING,13,-3.919825,RUNNING,8,-3.928071,RUNNING
9,2025-10-02 02:31:09,-3.928939,3,12,-3.918089,RUNNING,5,-3.921561,RUNNING,8,-3.928939,RUNNING,13,-3.919825,RUNNING,8,-3.928071,RUNNING
9,2025-10-02 02:31:20,-3.928939,3,12,-3.918089,RUNNING,5,-3.921561,RUNNING,8,-3.928939,RUNNING,13,-3.919825,RUNNING,8,-3.928071,RUNNING
9,2025-10-02 02:31:29,-3.928939,3,12,-3.918089,RUNNING,6,-3.925033,RUNNING,8,-3.928939,RUNNING,13,-3.919825,RUNNING,8,-3.928071,RUNNING
10,2025-10-02 02:31:40,-3.928939,3,12,-3.918089,RUNNING,6,-3.925033,RUNNING,8,-3.928939,RUNNING,13,-3.919825,RUNNING,8,-3.928071,RUNNING
10,2025-10-02 02:31:51,-3.928939,3,13,-3.923731,RUNNING,6,-3.925033,RUNNING,8,-3.928939,RUNNING,13,-3.919825,RUNNING,8,-3.928071,RUNNING
10,2025-10-02 02:32:00,-3.928939,3,13,-3.923731,RUNNING,6,-3.925033,RUNNING,8,-3.928939,RUNNING,13,-3.919825,RUNNING,8,-3.928071,RUNNING
10,2025-10-02 02:32:11,-3.928939,3,13,-3.923731,RUNNING,6,-3.925033,RUNNING,8,-3.928939,RUNNING,13,-3.919825,RUNNING,8,-3.928071,RUNNING
10,2025-10-02 02:32:22,-3.928939,3,13,-3.923731,RUNNING,6,-3.925033,RUNNING,8,-3.928939,RUNNING,13,-3.919825,RUNNING,8,-3.928071,RUNNING
10,2025-10-02 02:32:31,-3.928939,3,13,-3.923731,RUNNING,6,-3.925033,RUNNING,8,-3.928939,RUNNING,13,-3.919825,RUNNING,8,-3.928071,RUNNING
11,2025-10-02 02:32:42,-3.928939,3,13,-3.923731,RUNNING,6,-3.925033,RUNNING,8,-3.928939,RUNNING,13,-3.919825,RUNNING,8,-3.928071,RUNNING
11,2025-10-02 02:32:53,-3.928939,3,13,-3.923731,RUNNING,6,-3.925033,RUNNING,8,-3.928939,RUNNING,13,-3.919825,RUNNING,8,-3.928071,RUNNING
11,2025-10-02 02:33:03,-3.928939,3,13,-3.923731,RUNNING,6,-3.925033,RUNNING,8,-3.928939,RUNNING,13,-3.919825,RUNNING,8,-3.928071,RUNNING
11,2025-10-02 02:33:14,-3.928939,3,13,-3.923731,RUNNING,6,-3.925033,RUNNING,8,-3.928939,RUNNING,13,-3.919825,RUNNING,8,-3.928071,RUNNING
11,2025-10-02 02:33:25,-3.928939,3,13,-3.923731,RUNNING,6,-3.925033,RUNNING,8,-3.928939,RUNNING,13,-3.919825,RUNNING,8,-3.928071,RUNNING
12,2025-10-02 02:33:34,-3.928939,3,13,-3.923731,RUNNING,6,-3.925033,RUNNING,8,-3.928939,RUNNING,14,-3.921127,RUNNING,8,-3.928071,RUNNING
12,2025-10-02 02:33:45,-3.928939,3,13,-3.923731,RUNNING,6,-3.925033,RUNNING,8,-3.928939,RUNNING,14,-3.921127,RUNNING,8,-3.928071,RUNNING
12,2025-10-02 02:33:56,-3.928939,3,13,-3.923731,RUNNING,6,-3.925033,RUNNING,8,-3.928939,RUNNING,14,-3.921127,RUNNING,8,-3.928071,RUNNING
12,2025-10-02 02:34:05,-3.928939,3,13,-3.923731,RUNNING,6,-3.925033,RUNNING,8,-3.928939,RUNNING,14,-3.921127,RUNNING,8,-3.928071,RUNNING
12,2025-10-02 02:34:16,-3.928939,3,13,-3.923731,RUNNING,6,-3.925033,RUNNING,8,-3.928939,RUNNING,14,-3.921127,RUNNING,8,-3.928071,RUNNING
12,2025-10-02 02:34:27,-3.928939,3,13,-3.923731,RUNNING,6,-3.925033,RUNNING,8,-3.928939,RUNNING,14,-3.921127,RUNNING,8,-3.928071,RUNNING
13,2025-10-02 02:34:37,-3.928939,3,13,-3.923731,RUNNING,6,-3.925033,RUNNING,8,-3.928939,RUNNING,14,-3.921127,RUNNING,8,-3.928071,RUNNING
